question,answer
What is Epidermal nevus syndrome.,"Epidermal nevus syndrome

Epidermal nevus syndrome (ENS) is a rare congenitally acquired syndrome, characterized by the presence of epidermal nevi in association with various developmental abnormalities of the skin, eyes, nervous, skeletal, cardiovascular and urogenital systems.

UMLS: C5848385

Age of onset: Infancy, Neonatal

Epidermal nevi are developmental disorders characterized by hyperplasia of epidermal structures in a circumscribed area of the skin. Most are present at birth, occur sporadically and affect both sexes. All well-defined ENS are lethal gene syndromes, except nevus comedonicus syndrome. About 50% of the patients have neurological abnormalities that include mental retardation and epilepsy, spastic paresis, cerebral vascular malformations, cortical atrophy, lateral ventricle enlargement. About one third of the patients may have ocular abnormalities such as colobomas of the eyelid, iris and retina, conjuctival lipodermoids and choristomas, cortical blindness, micro-, macro- or anophthalmia, corneal opacities and cataracts. Skeletal abnormalities and many other non-cutaneous abnormalities may be present.

No ideal medical therapy for the cutaneous lesions of ENS exists. The skin lesions may be amenable to surgery. The inflammatory linear verrucous epidermal nevus (ILVEN) sometimes responds to Erbium-YAG laser or vitamin D analogues. Salicylic acid, topical and systemic retinoids, emollients, shave dermabrasion and cryotherapy have been tried. The concomitant skeletal and ocular defects can be surgically repaired. Epilepsy should be treated appropriately."
What is Isolated congenital megalocornea.,"Isolated congenital megalocornea

Isolated congenital megalocornea is a genetic, non-syndromic developmental defect of the anterior eye segment characterized by bilateral enlargement of the corneal diameter (>12.5 mm) and a deep anterior eye chamber, without an elevation in intraocular pressure. It can manifest with mild to moderate myopia as well as photophobia and iridodonesis (due to iris hypoplasia). Associated complications include lens dislocation, retinal detachment, presenile cataract development, and secondary glaucoma.

UMLS: C4518341"
What is Rheumatic fever.,"Rheumatic fever

Rheumatic fever (RF) is a multisystem inflammatory disease occurring as a post-infectious, nonsuppurative sequela of untreated streptococcus pyogenes (Group A streptococcus [GAS]) pharyngitis, and mainly occurs in individuals aged 5 to 15 years. The most common presenting signs are fever, migratory polyarthritis and carditis.

UMLS: C0035436

Age of onset: Childhood

RF usually initially occurs between 5 and 15 years of age, and involves the heart, large joints and skin and is a delayed sequela of untreated GAS pharyngitis. The major diagnostic criteria include migratory polyarthritis (46-66% of cases), most commonly in the knee, ankle, elbow and wrists; carditis (53-68% clinical and additional ''subclinical'' diagnosed by echocardiogram), which is typically inflammation of the mitral (90%) or aortic valve (10%) in isolation, but any combination of all 4 valves have been reported; Sydenham chorea (8-15%); erythema marginatum (1-11%); and subcutaneous nodules on the flexor surfaces (1-8%). Minor criteria include fever (35-75% of cases), arthralgia (35-56%), first degree heart block (prolonged PR interval) (20-29%) and elevated inflammatory markers (53-91%). There is not always a prior clinically apparent GAS infection.

The revised Jones criteria require the presence of two major or one major and two minor criteria, as well as evidence of a prior GAS infection. Diagnostic tests include an antistreptolysin O (ASO) titer, erythrocyte sedimentation rate (ESR) or C reactive protein (CRP), electrocardiogram to detect first degree heart block, and echocardiogram to diagnose valvulitis.

The differential diagnosis includes other causes of febrile polyarthritis in children: juvenile idiopathic arthritis, Lyme disease, mixed connective tissue disease, reactive arthritis, sickle cell anemia, systemic lupus erythematosus, and septic arthritis.

The incidence of RF in industrialized countries, due to sporadic outbreaks, is typically less than 1/20, 000 individuals. In the developing world, the annual incidence is at least 100 times higher with some reports of > 1/200 individuals in select subpopulations, such as Australian Aboriginals. RF remains a major cause of acquired cardiac morbidity and mortality among people under 50 years of age.

There are proposed associations with certain HLA types (most frequently HLA-DR7), but numerous types have been implicated and are not always consistent among different populations. Immunological cross-reactivity is believed to occur through molecular mimicry and has been attributed to the M-protein in the GAS cell membrane. Tumor necrosis factor α and mannose-binding lectin may also be upregulated in individuals with increased RF susceptibility.

Treatment of RF includes: 1) treatment of pharyngitis to eradicate GAS, with penicillin as first line therapy, 2) anti-inflammatory treatment, usually aspirin in the acute phase, although the use of corticosteroids is sometimes suggested, especially with severe carditis, and 3) secondary antibiotic prophylaxis to prevent recurrence of RF, usually with benzathine penicillin every 3 to 4 weeks.

Prognosis is generally good after initial episode of RF and all of the symptoms usually resolve completely with the exception of cardiac valve damage, which can progress over time, especially with subsequent episodes of RF, and require chronic medical management for heart failure and eventual surgical valve replacement."
"What is X-linked neurodegenerative syndrome, Bertini type.","X-linked neurodegenerative syndrome, Bertini type

An X-linked syndromic intellectual disability characterized by congenital ataxia and generalized hypotonia, global developmental delay with intellectual disability, myoclonic encephalopathy, progressive neurological deterioration, macular degeneration, and recurrent bronchopulmonary infections.

UMLS: C4305133

Age of onset: Infancy, Neonatal"
What is Alpers-Huttenlocher syndrome.,"Alpers-Huttenlocher syndrome

A cerebrohepatopathy and a rare and severe form of mitochondrial DNA (mtDNA) depletion syndrome characterized by the triad of progressive developmental regression, intractable seizures, and hepatic failure.

UMLS: C0205710

Age of onset: Adolescent, Adult, Childhood, Infancy

Prenatal diagnosis is possible in families with a known disease-causing mutation.

Development is usually normal until disease onset and presentations are highly variable. The most common age of onset is between 2-4 years (ranges from 3 months to 36 years). Seizures (mainly partial, secondary generalized tonic-clonic, or myoclonic) are often the presenting feature, evolving into focal status epilepticus, epilepsia partialis continua, and/or multifocal myoclonic epilepsy. Seizures may respond to treatment initially but usually become intractable. Headaches, visual disturbances and movement disorders (e.g. myoclonus and choreoathetosis) are also common. Cerebellar ataxia develops in most patients. Peripheral neuropathy develops in many and becomes increasingly common in older children and young adults. Loss of cognitive function progresses with varying rates (rapid regression seen during infectious diseases) with manifestations including somnolence, irritability, loss of concentration, loss of language skills and memory deficits, ending in dementia and visual loss. Gastrointestinal involvement (i.e. swallowing dysfunction, intestinal dysmotility) is also noted. Liver disease may be indolent for years before the first acute exacerbation, but may be the first presenting symptom in some children. The clinical course of both brain and liver abnormalities is often episodic with acute exacerbations followed by periods of partial recovery.

Diagnosis is based on clinical and laboratory findings. Electroencephalogram findings include explosive seizures with asymmetric occipital lobe predominance of epileptiform discharges, evolving into epilepsia partialis continua or status epilepticus. Neuroimaging may show neuronal loss/gliosis and generalized brain atrophy. Mitochondrial respiratory chain deficiencies and low levels of mtDNA are noted in the liver and muscle as the disease progresses. Molecular genetic testing revealing a POLG mutation confirms diagnosis.

Differential diagnoses are numerous with some examples being disease phenocopies caused by mutations in the C10ORF2 gene (10q24), which can cause autosomal dominant progressive external ophthalmoplegia (adPEO) as well as recessive mutations that can lead to other phenotypes that may overlap with AHS. Others disorders include infantile neuronal ceroid-lipofuscinosis, late-infantile neuronal ceroid lipofuscinosis, MERRF and MELAS. Other POLG-related disorders include recessive mitochondrial ataxia syndrome (MIRAS), ataxia neuropathy spectrum (ANS), and autosomal recessive PEO.

The incidence of AHS is estimated to be between 1/100,000 and 1/250,000.

AHS is due to mutations in the polymerase gamma (POLG) gene (15q24). This gene encodes DNA polymerase subunit gamma-1, which is involved in the replication and repair of mtDNA. Ecogenetic and epigenetic stressors, including incidental infections and drugs like valproic acid, can accelerate the onset of symptoms and modify how the phenotype unfolds.

AHS is inherited in an autosomal recessive manner. Genetic counseling is possible.

There is no cure for AHS and treatment is symptomatic and palliative. Anticonvulsive therapy is prescribed for the management of epileptic seizures but is not always successful. As valproic acid may trigger or worsen liver disease, it is contraindicated. Occupational, physical, and/or speech therapy may be offered to maintain neurologic function as long as possible. Tracheostomy placement, artificial ventilation and placement of a gastric feeding tube may all be necessary as the disease progresses.

The prognosis is severe with life-expectancy in patients ranging from 3 months to 12 years, after disease onset."
What is Griscelli syndrome.,"Griscelli syndrome

Griscelli syndrome (GS) is a rare cutaneous disease characterized by a silvery-gray sheen of the hair and hypopigmentation of the skin, which can be associated to primary neurological impairment (type 1), immunologic impairment (type 2) or be isolated (type 3).

UMLS: C0398794

Age of onset: Childhood, Infancy

Antenatal diagnosis of GS type 1 and 2 can be performed through chorionic villus sampling by the sequencing of the MYO5A or RAB27A gene, respectively.

GS occurs in infancy to childhood. In addition to the silvery-gray sheen of the hair and the light-colored skin, GS type 1 patients present with delayed motor development, intellectual disability and hypotonia. GS type 2 patients have the same hypopigmentation features but in association with immune pathology. Patients exhibit a lymphocyte cytotoxic defect resulting in an uncontrolled T-lymphocyte and macrophage-activation syndrome, also known as hemophagocytic syndrome (HLH), in which activated T cells and macrophages infiltrate the lymph nodes and other organs (including the brain), producing hemophagocytosis. Patients with GS type 2 can present neurological symptoms due to brain infiltration by the activated hematopoietic cells. In GS type 3 patients, hypopigmentation of the skin and hair is the only feature.

The diagnosis of the three types of GS can be established by the clinical signs and light microscopic examination, evidencing large clumps of pigment in hair shafts and the accumulation of mature melanosomes in melanocytes. A decrease in T and NK lymphocyte degranulation and cytotoxicity characterize GS type 2. No immunological or cytotoxic defects have been observed in GS type 1 or 3. Thus, based on the patient's clinical and biological features, sequencing of the corresponding causative gene allows confirmation of the type of GS.

GS can be distinguished from Chediak-Higashi syndrome by the lack of giant granules in granulocytes of GS patients. The differential diagnosis of GS type 1 also includes Elejalde disease.

To date, approximately 150 cases have been reported, predominantly in Turkish and Mediterranean populations. GS type 2 appears to be the most common of the three known types, while GS type 3 is the least common.

GS type 1 is caused by a mutation in the myosin Va (MYO5A) gene located on chromosome 15q21 and likely corresponds to Elejalde disease. GS type 2 is caused by mutations in the RAB27A encoding gene. Myosin-5a and RAB27A genes have been localized to the same chromosomal 15q21 region and encode for proteins which are key effectors of intracellular vesicular transport. Myosin Va regulates organelle transport in both melanocytes and neuronal cells, whereas RAB27A, regulates exocytic pathways, especially the cytotoxic granule exocytosis. The cytotoxic defect caused by RAB27A mutations is responsible for the hemophagocytic syndrome observed. GS type 3 is due to mutations in the MLPH gene, a gene encoding melanophilin, which forms a protein complex with Rab 27a and myosin Va, and participates in melanosome transport in melanocytes.

GS is an autosomal recessive disorder and genetic counseling informing affected couples of a 25% risk of having an affected child is possible.

Treatment for GS type 1 is only symptomatic. In GS type 2, the hemophagocytic syndrome is often fatal and the only cure is hematopoietic stem cell transplantation (HSCT). Currently there is no specific management for GS type 3.

If not treated by HSCT, the prognosis for long-term survival in GS type 2 is relatively poor, with many patients not surviving the first decade. The prognosis of GS type 1 is good. GS type 3 should be better considered as a pigmentation phenotype rather than a pathology with a prognosis similar to the control population."
What is Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency.,"Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency

A rare genetic skin disease characterized by severe skin laxity affecting the trunk and limbs.

UMLS: C4049241

Age of onset: Adolescent, Childhood"
What is Enteric anendocrinosis.,"Enteric anendocrinosis

A very rare genetic gastroenterological disease characterized by severe malabsorptive diarrhea (requiring parenteral nutrition and disappearing at fasting) due to a lack of intestinal enteroendocrine cells. It is associated with early-onset (within the first weeks of life) dehydration, metabolic acidosis and diabetes mellitus (that can develop until late childhood). Patient may display various degrees of pancreatic insufficiency that does not explain diarrhea, as it is not reduced with pancreatic enzyme supplementation. Central hypogonadism (developing in the second decade), as well as an association with celiac disease have been reported.

UMLS: C1835888

Age of onset: Infancy, Neonatal"
What is Mosaic trisomy 2 syndrome.,"Mosaic trisomy 2 syndrome

Mosaic trisomy 2 is a rare chromosomal anomaly syndrome, with a highly variable phenotype, principally characterized by intrauterine growth restriction, growth and motor delay, craniofacial dysmorphism (e.g. microcephaly, hypertelorism, micro/anophthalmia, midface hypoplasia, cleft lip/palate), congenital heart and neural tube defects, as well as various skeletal (e.g. scoliosis, radioulnar hypoplasia, preaxial polydactyly) and gastrointestinal (e.g. intestinal malrotation, Hirschsprung disease) anomalies. Central nervous system malformations (including ventriculomegaly, thin corpus callosum, spina bifida) have also been reported.

UMLS: C4707010

Age of onset: Antenatal, Neonatal"
What is Myalgia-eosinophilia syndrome associated with tryptophan.,"Myalgia-eosinophilia syndrome associated with tryptophan

Myalgia-eosinophilia syndrome associated with tryptophan is a rare systemic disease characterized by severe myalgia and peripheral eosinophilia associated with tryptophan dietary supplementation. The symptoms do not subside after tryptophan discontinuation. Clinical presentation includes muscle tenderness and cramps, fatigue, weakness, paresthesia, peripheral edema, arthralgia, dyspnea, skin rash, dry mouth, and development of scleroderma-like skin abnormalities.

UMLS: C1275050

Age of onset: All ages"
What is Autosomal dominant intermediate Charcot-Marie-Tooth disease type E.,"Autosomal dominant intermediate Charcot-Marie-Tooth disease type E

A rare hereditary motor and sensory neuropathy disorder characterized by the typical CMT phenotype (slowly progressive distal muscle weakness and atrophy in upper and lower limbs, distal sensory loss in extremities, reduced or absent deep tendon reflexes and foot deformities) associated with focal segmental glomerulosclerosis (manifesting with proteinuria and progression to end-stage renal disease). Mild or moderate sensorineural hearing loss may also be associated. Nerve biopsy reveals both axonal and demyelinating changes and nerve conduction velocities vary from the demyelinating to axonal range (typically between 25-50m/sec).

UMLS: C4302667

Age of onset: No data available"
What is Double outlet right ventricle.,"Double outlet right ventricle

A rare cono-truncal anomaly in which both the aorta and pulmonary artery originate, either entirely or predominantly, from the morphologic right ventricle.

UMLS: C0013069

Age of onset: Infancy, Neonatal

DORV can be diagnosed by fetal echocardiography with a good degree of accuracy when the two vessels arise entirely from the right ventricle.

The clinical picture varies widely, depending on the combination of the abnormalities present. Symptoms are generally observed during the first days or weeks of life. Cyanosis is the most frequent sign. Tachypnea or breathlessness, poor feeding and slow weight gain are also common. Tachycardia and/or heart murmur may also be observed. DORV is always associated with a ventricular septal defect (VSD) that allows blood to drain from the left ventricle. DORV is classified into sub-types, based on the relationship of the VSD (subaortic, doubly committed, subpulmonary or non-committed) with the great arteries. Other cardiac anomalies frequently associated with DORV include pulmonary stenosis, various degrees of left and right ventricular hypoplasia, atrioventricular (AV) septal defects, and straddling AV valves. Extracardiac anomalies, such as heterotaxy (polysplenia, asplenia, situs ambiguous) intestinal malrotation and ciliary dysfunction could be associated. It is important to figure out that DORV is not a congenital heart disease per se but a mode of ventriculo-arterial connection. Therefore there are several clinical types of DORV, depending on the presence of a pulmonary stenosis and of associated lesions. The functional classification has identified 5 types of DORV: DORV-VSD type, DORV-Fallot, DORV-Taussig Bing, DORV-non committed VSD, DORV-AVSD-heterotaxy. Each type has a specific clinical presentation and surgical treatment.

Diagnosis is based on 3D echocardiography showing both great arteries arising from the right ventricle. In complex forms, cardiac catheterization-angiography, magnetic resonance imaging (MRI) and /or computed tomography (CT) scan are required. Recently, 3D printed models have been very useful to plane the surgery.

Differential diagnosis includes transposition of the great arteries, tetralogy of Fallot, ventricular septal defect, and double outlet left ventricle.

Double outlet right ventricle (DORV) accounts for about 2-3% of all congenital heart defects, with a birth prevalence rate of 1/ 10,000.

DORV results from a failure in the fetal development of the cono-truncus, which is the primary outlet of the heart during embryonic development. The cono-truncal anomalies result in neural crest and second heart field dysfunction. Cardiac progenitor cells are controlled by various genes, such as GDF1 (19p13.11) and CFC1 (2q21.2), which when mutated can result in DORV. DORV is associated with chromosomal anomalies such as 22q11.2 deletion syndrome, trisomy 13, trisomy 18 and CHARGE syndrome and others.

DORV is a sporadic disease. Consanguinity seems to be a risk factor. Genetic counseling is not possible.

In the presence of two viable ventricles, biventricular repair is the optimal treatment for DORV and it is quite safely achieved in the simple forms (DORV-VSD type, DORV-Fallot type and DORV-TGA type). In the complex forms (DORV with non-committed VSD, DORV-atrioventricular septal defect-pulmonary stenosis-heterotaxy), univentricular repair (Fontan operation) is often preferred by a number of teams, while biventricular repair is performed in selected cases in advanced pediatric heart surgery centers.

Without treatment, prognosis is poor due to severe cyanosis, congestive heart failure or pulmonary hypertension. With biventricular repair, patients have, on average, a normal life expectancy, with possible risk or re-operation. All patients that have received surgery for a DORV require life-long surveillance by a cardiologist. Univentricular palliation requires a very close follow up."
What is Triple A syndrome.,"Triple A syndrome

Triple A syndrome is a very rare multisystem disease characterized by adrenal insufficiency with isolated glucocorticoid deficiency, achalasia, alacrima, autonomic dysfunction and neurodegeneration.

UMLS: C0271742

Age of onset: All ages

The onset of Triple A syndrome varies between infancy and adulthood. When presenting in early childhood, alacrima and, possibly, achalasia are the indicative signs; in childhood and adolescence, onset is characterized by achalasia and adrenal insufficiency; while in adulthood, presentation is predominantly neurological with autonomous and polyneuropathic involvement. Alacrima, when present, is the first clinical sign, manifesting in the first months of life, but achalasia of the cardia, leading to dysphagia, is usually the first relevant symptom leading to diagnosis. Adrenal insufficiency may cause hypoglycemia and seizures. These three cardinal signs may not all be present, or be associated with autonomic dysfunction and other neurological features, leading to the ''double A'' or ''quaternary A'' denomination, respectively. Neurological manifestations are diverse: dysautonomia results in dyshidrosis and digestive, sexual, circulatory and urinary dysfunction; pyramidal syndrome and peripheral neuropathy lead to walking difficulties and sometimes to sensory deficit; and bulbar and facial deficiencies are responsible for velar insufficiency, tongue amyotrophy or paresis, orbicularis oris dysfunction and oropharyngeal dysphagia.

Diagnosis is based on clinical examination and adrenal function testing. It can be confirmed by molecular testing.

Given that the presence of 2 among the 3 main clinical signs (achalasia, alacrima or adrenal insufficiency) is pathognomonic, differential diagnosis can be considered when only one clinical sign is observed, for example at the onset of the disease. Differential diagnosis thus includes other causes of adrenal insufficiency, achalasia or alacrima such as frequent forms of congenital adrenal hyperplasia (easily excluded with dosage of adrenal hormones precursors), and rare peripheral forms of congenital adrenal insufficiency or adrenoleukodystrophy, which might be associated with neurological features.

Prevalence is unknown but less than 100 cases have been published since the first description in 1978.

The disease is caused by mutations in the AAAS gene (12q13), coding for the ALADIN nuclear pore scaffolding protein.

Triple-A syndrome has an autosomal recessive mode of inheritance, thus causing a 25% recurrence risk for parents with an affected child.

Treatment for Triple A syndrome includes hydrocortisone substitutive therapy, esophageal dilatation or myotomy of the lower esophageal sphincter and artificial tear drops. Management of neurological features is symptomatic.

If untreated, triple A syndrome may have a high morbidity and prognosis can be severe. The appropriate management of the disease ameliorates the prognosis significantly."
What is Coats disease.,"Coats disease

Coats disease (CD) is an idiopathic disorder characterized by retinal telangiectasia with deposition of intraretinal or subretinal exudates, potentially leading to retinal detachment and unilateral blindness. CD is classically an isolated and unilateral condition affecting otherwise healthy young children.

UMLS: C0154832

Age of onset: Childhood

CD onset predominantly occurs in male children between 6 and 8 years old. Early stages of the disease are generally asymptomatic and evolution is variable. As children with unilateral vision loss usually do not complain of symptoms, the diagnosis is often based on an abnormal appearance of the pupillary reflex that can best be seen in photos or on red reflex testing. Other common presentations include the onset of strabismus or failure of a school vision screening examination. Ophthalmoscopy reveals unilateral retinal telangiectasia and aneurysms of the retinal vasculature. This is followed by exudation of fluids producing yellow subretinal deposits. The most advanced stages of CD include total retinal detachment, leukocoria and painful glaucoma secondary to angle closure.

Diagnostic methods include indirect ophthalmoscopy, fluorescein angiography, ultrasonography, computerized tomography scanning and magnetic resonance imaging.

Retinoblastoma is the most important differential diagnosis. B-scan ultrasound and MRI with gadolinium contrast aid in distinguishing between late stage CD and solid tumors. Others include familial exudative vitreoretinopathy, Von Hippel-Lindau disease, intermediate uveitis and incontinentia pigmenti which are more often bilateral, as well as the more typically unilateral conditions such as ocular toxocariasis and persistent hyperplastic primary vitreous.

Annual incidence is <1/1,000,000 in the UK, approximately 80% of cases occur in males.

An abnormal permeability of capillary endothelial cells in the retina, along with abnormal pericytes, causes the retinal vascular leakage that is the hallmark of CD. CD is not heritable, however, somatic mutations in the Norrie Disease Pseudoglioma, NDP, gene have been hypothesized to play a role in the pathogenesis of CD.

Treatment depends on severity of disease. Mild peripheral vascular abnormalities may be followed with serial fundus photography. When exudation is present, ablation of incompetent vessels and avascular retina should be performed using laser or less often, cryotherapy. More advanced cases can require surgical intervention for retinal reattachment, such as scleral buckling, or laser photocoagulation combined with pars plana vitrectomy and removal of the vitreous membrane. Intravitreal corticosteroid as well as anti-VEGF agents have been used as adjuvant therapies.

The majority of cases stabilize with proper therapy, although exudation and macular scarring commonly compromise vision. A retrospective study showed that 16% of patients had a final visual acuity of 20/50 or better and 47% had hand motions to no light perception in the affected eye. Approximately 20% of eyes may require enucleation."
What is Amelocerebrohypohidrotic syndrome.,"Amelocerebrohypohidrotic syndrome

A genetically heterogeneous autosomal recessive syndrome characterized by the triad of amelogenesis imperfect, infantile onset epilepsy, intellectual disability with or without regression and dementia.

UMLS: C0406740

Age of onset: Childhood, Infancy, Neonatal"
What is Juvenile absence epilepsy.,"Juvenile absence epilepsy

Juvenile absence epilepsy (JAE) is a genetic epilepsy with onset occurring around puberty. JAE is characterized by sporadic occurrence of absence seizures, frequently associated with a long-life prevalence of generalized tonic-clonic seizures (GTCS) and sporadic myoclonic jerks.

UMLS: C4317339

Age of onset: Adolescent

JAE is characterized by sporadic occurrence of absence seizures (only one or a few absences daily; 100% of cases), frequently associated with a long-life prevalence of generalized tonic-clonic seizures (GTCS; 80%) and sporadic myoclonic jerks (20%). The seizures onset is typically between 9 and 13 years of age and it manifests as a ''staring spell'' that can be accompanied by atonic postures such as drooping of the head and/or automatisms such as lip smacking. GTCS and myoclonic seizures often occur 1-10 years after the absence seizure onset. Patients with JAE usually develop normally, although uncontrolled absence seizures may have an impact on their ability to learn at school.

Diagnosis relies on the clinical features and on electroencephalogram (EEG) recorded awake and during sleep, that displays a generalized 3-4 Hz spike-and-slow-wave complexes.

Differential diagnosis includes childhood absence epilepsy, juvenile myoclonic epilepsy, Jeavons syndrome.

The incidence of JAE is still unknown but it accounts for approximately 2-3% of patients with adult epilepsy in general, and about 8-10% of patients with genetic generalized epilepsy (GGE). No sex predominance has been observed.

The exact etiology of JAE is still elusive. However, genetic mutations for voltage-gated sodium channels (CACNB4 gene (2q22-q23)), potassium channels (CLCN2 gene (3q27.1)), and EFHC1 (6p12.3) may be involved in a subset of patients. Moreover, different mutations have been found in genes for GABA receptors (ligand ion channels), specifically in the GABRA1 gene (5q34).

The transmission is still unknown although an increased risk for first degree related parents to develop JME may exist.

The antiepileptic drugs of choice are valproic acid (VPA) and lamotrigine (LTG). In cases where VPA deals with only partial seizure control, add-on of LTG (GTCS) or ethosuximide (absence seizures) can be beneficial.

Prognosis of JAE is usually favorable with good therapy responsiveness. Generally, seizure freedom can be achieved with antiepileptic medication in 62-84% of all patients with JAE. However, the occurrence of GTCS predicts a worse prognosis."
What is Inherited arrhythmogenic cardiomyopathy.,"Inherited arrhythmogenic cardiomyopathy

A heart muscle disease that consists in progressive dystrophy of primarily the right ventricular myocardium with fibro-fatty replacement and ventricular dilation, and that is clinically characterized by ventricular arrhythmias and a risk of sudden cardiac death.

UMLS: C0349788

Age of onset: Adolescent, Adult

Although prenatal diagnosis through amniocentesis is feasible, it is subject to ethical and legal considerations.

ARVC has a variable clinical picture. ARVC can be asymptomatic, or present, usually during adolescence, with ventricular arrhythmias with palpitations, chest pain, dizziness, fatigue, or syncope. All patients are at risk of sudden death, particularly during exertion. Although predominantly a disease of the right ventricle, ARVC may also involve the left ventricle (ARVC left dominant form) or both (ARVC biventricular form), the latter leading in later stages to progressive biventricular failure. ARVC can be associated with palmoplantar keratoderma and woolly hair, the so-called cardio cutaneous syndromes (Naxos disease and Carvajal syndromes).

Diagnosis is based on a scoring system taking into account right ventricle structural and functional abnormalities (dilatation, akinesia, dyskinesia, aneurysms) detected by echocardiography, MRI and angiography; electrocardiographic features (inverted T waves in right precordial leads, epsilon waves and late potentials by signal averaged ECG (SAECG), left bundle branch block ventricular tachycardia, >500 ventricular extrasystoles per 24 h); tissue characterization at endomyocardial biopsy (fibro-fatty replacement of myocardium); and family history. Contrast enhanced MRI substantially enhances the diagnostic sensitivity, particularly in left ventricle variants, while electroanatomic mapping is superior in detecting early RV involvement.

Differential diagnosis includes idiopathic RV outflow tract tachycardia, myocarditis, sarcoidosis and congenital heart diseases.

Arrhythmogenic right ventricular cardiomyopathy (ARVC) has a reported prevalence of 1/2,500 to 1/5,000.

ARVC results from a fibro-fatty replacement of myocardium. It is believed to be a disease of desmosomes with impaired cell-to-cell contact and signaling Mutations have been observed in genes encoding for proteins of the cardiac desmosomes (JUP; DSP; PKP2; DSG2; and DSC2). However, in a minority of patients, mutations in non-desmosomal genes (TGFβ3; TMEM43/LUMA; DES; CTNNA3; PLN; LMNA; TTN) have also been detected. Variable penetrance is found, suggesting a role for additional genetic or environmental modifiers. Compound/digenic heterozygosity is identified in up to 25% of mutation carriers and seems an additional risk factor. Recent investigations point to a role of the canonical Wnt signaling pathway in the pathogenesis of ARVC.

In more than half of the patients, the disease is familial, primarily autosomal dominant with variable penetrance and polymorphic expressivity. Naxos disease and Carvajal syndrome show an autosomal recessive mode of inheritance. The success rate of genotyping depends on several factors (such as cohort location and ethnicity) and hence requires specialized counseling.

Risk stratification remains largely empiric and therapeutic interventions include antiarrhythmic drugs like beta-blockers, sotalol and amiodarone, catheter ablation, implantable cardioverter-defibrillator. In refractory congestive heart failure or untreatable ventricular arrhythmias, heart transplantation can be also considered. Since effort is a trigger for disease progression and arrhythmias, competitive sport and moderate to high intense physical activity should be avoided.

The disease progression is variable. Risk factors for sudden death include a history of aborted sudden death, syncope, young age, decreased left ventricular function, and marked decrease in right ventricular function."
